Taxon,Parameter,Value,Abundance,Date,Location
Callitriche stagnalis,TN,4.8,2,17/08/2012,NI_48962110
Callitriche stagnalis,TN,8.2,2,03/08/2009,NW_728100
Callitriche stagnalis,TN,3.7,2,17/08/2012,NI_48962110
Callitriche stagnalis,pH,7.5,3,25/06/2012,NI_34492030
Callitriche stagnalis,TP,0.075,2,19/07/2010,BW_QQ101.00
Callitriche stagnalis,TP,0.09,3,27/08/2012,NI_48922950
Callitriche stagnalis,TP,0.089,2,19/07/2010,BW_QQ101.00
Callitriche stagnalis,pH,8.5,4,30/07/2012,NW_145105
Callitriche stagnalis,TP,0.06,3,25/06/2012,NI_34492030
Ceratophyllum demersum,HCO3,153,3,28/08/2014,ST_410195
Ceratophyllum demersum,pH,8.2,1,14/07/2010,NW_471823
Ceratophyllum demersum,pH,7.9,2,01/08/2011,NW_311558
Ceratophyllum demersum,pH,8,1,31/07/2012,NW_801872
Ceratophyllum demersum,TP,0.02,2,01/08/2011,NW_311558
Ceratophyllum demersum,pH,7.8,3,22/08/2012,ST_417520
Ceratophyllum demersum,pH,7.8,4,11/09/2014,ST_411208
Ceratophyllum demersum,TN,4.8,3,30/07/2010,BW_KR026.00
Ceratophyllum demersum,TP,0.17,3,27/08/2012,SN_OBF28803
Ceratophyllum demersum,TP,0.1,1,14/07/2010,NW_471823
Ceratophyllum demersum,TP,0.17,2,05/08/2009,ST_410735
Ceratophyllum demersum,TN,1.8,1,02/07/2012,NW_805245
Ceratophyllum demersum,pH,8.3,4,11/09/2014,ST_411208
Ceratophyllum demersum,HCO3,189,2,11/07/2014,ST_410720
Ceratophyllum demersum,pH,7.5,2,05/08/2009,ST_410735
Ceratophyllum demersum,pH,7.6,2,01/08/2012,NW_315163
Ceratophyllum demersum,pH,7.9,2,18/08/2009,ST_413165
Ceratophyllum demersum,TP,0.24,4,11/09/2014,ST_411208
Ceratophyllum demersum,pH,8.3,2,19/08/2006,BW_JA514.00
Ceratophyllum demersum,TP,0.36,2,18/08/2009,ST_413165
Ceratophyllum demersum,pH,7.93,1,31/08/2011,TH_TH_2009
Ceratophyllum demersum,TP,0.2,4,11/09/2014,ST_411208
Ceratophyllum demersum,TP,0.4367,1,31/08/2011,TH_TH_2009
Ceratophyllum demersum,TP,0.07,1,21/09/2009,NW_107610
Ceratophyllum demersum,pH,8.1,2,05/08/2009,ST_410735
Ceratophyllum demersum,pH,8.2,3,08/07/2012,NW_514706
Ceratophyllum demersum,TP,0.07,2,01/08/2011,NW_311558
Ceratophyllum demersum,TN,5.9,3,30/07/2010,BW_KR026.00
Ceratophyllum demersum,HCO3,153,1,07/08/2014,ST_311250
Ceratophyllum demersum,TP,0.21,2,05/08/2009,ST_410735
Ceratophyllum demersum,pH,7.5,3,05/09/2012,NI_49432043
Ceratophyllum demersum,pH,7.8,1,21/09/2009,NW_107610
Ceratophyllum demersum,HCO3,270,1,10/08/2011,SN_OBF48820
Ceratophyllum demersum,pH,6.8,3,27/08/2012,SN_OBF28803
Ceratophyllum demersum,TP,0.301,3,30/07/2010,BW_KR026.00
Ceratophyllum demersum,pH,7.9,2,20/06/2009,NI_36712014
Ceratophyllum demersum,pH,7.7,2,01/08/2011,NW_311558
Ceratophyllum demersum,pH,8.1,2,19/08/2006,BW_JA514.00
Ceratophyllum demersum,TP,0.1,2,06/08/2012,NI_48882394
Ceratophyllum demersum,HCO3,146,2,11/07/2014,ST_410720
Ceratophyllum demersum,TN,9.7,1,08/07/2010,ST_414220
Ceratophyllum demersum,pH,7.4,3,05/09/2012,NI_49432043
Ceratophyllum demersum,TP,0.1,3,05/09/2012,NI_49432043
Ceratophyllum demersum,TP,0.16,2,06/08/2012,NI_48882394
Ceratophyllum demersum,HCO3,140,1,07/08/2014,ST_311250
Ceratophyllum demersum,TP,0.08,1,14/07/2010,NW_471823
Ceratophyllum demersum,TN,2.6,1,21/09/2009,NW_107610
Ceratophyllum demersum,HCO3,408.8139,3,17/07/2007,ST_310570
Ceratophyllum demersum,pH,7.5,4,01/10/2012,SN_OBF13670
Ceratophyllum demersum,pH,8.2,2,05/08/2009,ST_410735
Ceratophyllum demersum,TN,4.53,3,08/07/2012,NW_514706
Ceratophyllum demersum,TN,3.4,2,18/09/2012,TH_TH_2132
Ceratophyllum demersum,HCO3,298.9833,3,17/07/2007,ST_310570
Ceratophyllum demersum,pH,7.6,3,05/09/2012,NI_49432043
Ceratophyllum demersum,pH,7.8,3,05/09/2012,NI_49432043
Ceratophyllum demersum,TN,4.06,1,13/09/2011,ST_414105
Ceratophyllum demersum,TN,5.25,1,13/09/2011,ST_414105
Ceratophyllum demersum,TN,3.3,2,18/09/2012,TH_TH_2132
Ceratophyllum demersum,TN,4.25,3,08/07/2012,NW_514408
Ceratophyllum demersum,TN,2.61,2,01/08/2012,NW_315163
Ceratophyllum demersum,TN,1.2,4,30/08/2012,ST_417010
Ceratophyllum demersum,HCO3,200,1,10/08/2011,SN_OBF48820
Ceratophyllum demersum,pH,7.4,3,05/08/2012,NW_317081
Ceratophyllum demersum,TP,0.15,2,05/08/2009,ST_410735
Ceratophyllum demersum,TN,4.93,1,13/09/2011,ST_414105
Ceratophyllum demersum,pH,7.8,3,23/06/2009,NI_33952011
Ceratophyllum demersum,TP,0.18,2,06/08/2012,NI_48882394
Ceratophyllum demersum,TN,10.6,1,08/07/2010,ST_414220
Ceratophyllum demersum,TN,3.1,2,18/09/2012,TH_TH_2132
Ceratophyllum demersum,TN,4.4,2,18/09/2012,TH_TH_2132
Ceratophyllum demersum,TN,0.83,3,18/08/2010,MV_HECHTF_1
Ceratophyllum demersum,pH,6.9,3,27/08/2012,SN_OBF28803
Ceratophyllum demersum,TP,0.31,3,30/07/2010,BW_KR026.00
Ceratophyllum demersum,pH,8.1,2,06/08/2012,NI_48882394
Ceratophyllum demersum,pH,7.8,2,01/08/2012,NW_315163
Ceratophyllum demersum,HCO3,201,3,28/08/2014,ST_410195
Ceratophyllum demersum,HCO3,180,3,08/08/2011,SN_OBF15050
Ceratophyllum demersum,pH,7.6,3,15/08/2011,NW_760500
Ceratophyllum demersum,pH,7.86,1,31/08/2011,TH_TH_2009
Ceratophyllum demersum,TP,0.2,2,06/08/2012,NI_48882394
Ceratophyllum demersum,TP,0.14,3,05/09/2012,NI_49432043
Ceratophyllum demersum,TN,7.96,1,08/07/2010,ST_414220
Ceratophyllum demersum,TP,0.045,4,01/10/2012,SN_OBF13670
Ceratophyllum demersum,pH,7.5,3,05/08/2012,NW_317081
Ceratophyllum demersum,pH,8,2,19/08/2006,BW_JA514.00
Ceratophyllum demersum,HCO3,250.2,2,18/08/2009,ST_413165
Ceratophyllum demersum,TP,0.26,4,30/09/2007,SN_OBF29803
Ceratophyllum demersum,TN,1,3,18/08/2010,MV_HECHTF_1
Ceratophyllum demersum,TP,0.064,3,27/08/2012,SN_OBF28803
Ceratophyllum demersum,TP,0.1,1,08/07/2010,ST_414220
Ceratophyllum demersum,pH,7.2,2,20/06/2009,NI_36712014
Ceratophyllum demersum,TN,3.6,3,27/08/2009,ST_310020
Ceratophyllum demersum,TP,0.19,1,08/07/2010,ST_414220
Ceratophyllum demersum,pH,7.5,1,16/09/2012,SN_OBF22713
Ceratophyllum demersum,pH,8.1,2,01/08/2012,NW_315163
Ceratophyllum demersum,HCO3,384,4,11/09/2014,ST_411208
Ceratophyllum demersum,TP,0.12,3,05/09/2012,NI_49432043
Ceratophyllum demersum,pH,8.6,3,15/08/2011,NW_760500
Ceratophyllum demersum,pH,7.9,1,10/09/2012,ST_410340
Ceratophyllum demersum,HCO3,183,3,28/08/2014,ST_410195
Ceratophyllum demersum,TN,5.2,3,27/08/2009,ST_310020
Ceratophyllum demersum,pH,7.9,5,17/08/2009,ST_313304
Ceratophyllum demersum,pH,8.2,4,09/07/2012,NW_514925
Ceratophyllum demersum,TN,6.2,4,30/09/2007,SN_OBF29803
Ceratophyllum demersum,HCO3,160,3,08/08/2011,SN_OBF15050
Ceratophyllum demersum,HCO3,110,2,06/09/2006,SN_OBF16080
Ceratophyllum demersum,TN,5.6,3,27/08/2009,ST_310020
Ceratophyllum demersum,pH,7.3,1,08/07/2010,ST_414220
Ceratophyllum demersum,TN,5.8,4,30/09/2007,SN_OBF29803
Ceratophyllum demersum,pH,8.7,1,25/06/2012,NW_126500
Ceratophyllum demersum,pH,8.3,2,20/06/2009,NI_36712014
Ceratophyllum demersum,pH,7.4,3,23/06/2009,NI_33952011
Ceratophyllum demersum,pH,8.2,1,02/07/2012,NW_805245
Ceratophyllum demersum,pH,8.3,3,08/07/2012,NW_514408
Ceratophyllum demersum,pH,7.4,3,15/08/2011,NW_760500
Ceratophyllum demersum,pH,7.8,1,10/09/2012,ST_410340
Ceratophyllum demersum,HCO3,220,4,02/08/2006,SN_OBF13501
Ceratophyllum demersum,TN,2.3,3,05/09/2012,NI_49432043
Ceratophyllum demersum,TN,4.6,3,27/08/2009,ST_310020
Ceratophyllum demersum,TP,0.22,1,15/09/2010,NW_311820
Ceratophyllum demersum,HCO3,250,4,02/08/2006,SN_OBF13501
Ceratophyllum demersum,HCO3,280,4,02/08/2006,SN_OBF13501
Ceratophyllum demersum,TP,0.24,1,16/09/2012,SN_OBF22713
Ceratophyllum demersum,pH,7.3,3,15/08/2011,NW_760500
Ceratophyllum demersum,HCO3,79,4,30/09/2007,SN_OBF29803
Ceratophyllum demersum,TN,5,1,02/09/2011,TH_TH_2152
Ceratophyllum demersum,pH,8.1,1,15/09/2010,NW_360004
Ceratophyllum demersum,pH,7.1,4,30/09/2007,SN_OBF29803
Ceratophyllum demersum,TP,0.28,4,30/09/2007,SN_OBF29803
Ceratophyllum demersum,pH,7.6,1,05/09/2010,NW_311832
Ceratophyllum demersum,pH,8.5,2,01/08/2011,NW_311558
Ceratophyllum demersum,HCO3,189,3,28/08/2014,ST_410195
Ceratophyllum demersum,HCO3,366,4,11/09/2014,ST_411208
Ceratophyllum demersum,TN,2,3,05/09/2012,NI_49432043
Ceratophyllum demersum,pH,7.8,2,26/07/2012,NW_802050
Ceratophyllum demersum,pH,7.7,3,15/08/2011,NW_760500
Ceratophyllum demersum,TN,2,2,06/09/2006,SN_OBF16080
Ceratophyllum demersum,pH,8,1,02/07/2012,NW_805245
Ceratophyllum demersum,pH,8.3,1,25/06/2012,NW_126500
Ceratophyllum demersum,TP,0.42,3,15/08/2011,NW_760500
Ceratophyllum demersum,pH,7.9,1,15/09/2010,NW_360004
Ceratophyllum demersum,pH,7,4,30/09/2007,SN_OBF29803
Ceratophyllum demersum,TN,1.2,2,11/07/2014,ST_410720
Ceratophyllum demersum,TN,1.8,2,11/07/2014,ST_410720
Ceratophyllum demersum,pH,7.3,1,16/09/2012,SN_OBF22713
Ceratophyllum demersum,TN,3.39,1,29/07/2012,NW_126809
Ceratophyllum demersum,TN,4.05,2,01/08/2012,NW_315151
Ceratophyllum demersum,HCO3,85,4,30/09/2007,SN_OBF29803
Ceratophyllum demersum,HCO3,120,2,06/09/2006,SN_OBF16080
Ceratophyllum demersum,HCO3,39,3,27/08/2012,SN_OBF28803
Ceratophyllum demersum,TP,0.64,1,16/09/2012,SN_OBF22713
Ceratophyllum demersum,pH,7.9,3,09/07/2012,NW_515103
Ceratophyllum demersum,TP,0.64,3,15/08/2011,NW_760500
Ceratophyllum demersum,TN,2.4,3,18/08/2009,NW_805180
Ceratophyllum demersum,TN,3.4,2,27/08/2012,TH_TH_2150
Ceratophyllum demersum,pH,6.1,3,23/06/2009,NI_33952011
Ceratophyllum demersum,pH,7.6,1,07/08/2014,ST_311250
Ceratophyllum demersum,pH,8.1,3,09/07/2012,NW_515103
Ceratophyllum demersum,HCO3,195.3,4,30/08/2012,ST_417010
Ceratophyllum demersum,pH,8.24,2,18/09/2012,TH_TH_2132
Ceratophyllum demersum,TN,12,1,08/07/2010,ST_414220
Ceratophyllum demersum,TP,0.77,3,15/08/2011,NW_760500
Ceratophyllum demersum,HCO3,300,4,02/08/2006,SN_OBF13501
Ceratophyllum demersum,pH,8.09,2,18/09/2012,TH_TH_2132
Ceratophyllum demersum,pH,7.97,2,18/09/2012,TH_TH_2132
Ceratophyllum demersum,TN,10,3,27/08/2012,SN_OBF28803
Ceratophyllum demersum,HCO3,328,3,31/08/2010,TH_TH_20917
Ceratophyllum demersum,TN,0.75,3,18/08/2010,MV_HECHTF_1
Ceratophyllum demersum,TP,0.13,3,05/09/2012,NI_49432043
Ceratophyllum demersum,TN,1,4,30/08/2012,ST_417010
Ceratophyllum demersum,pH,7.4,1,15/09/2010,NW_311820
Ceratophyllum demersum,pH,8.4,1,25/06/2012,NW_126500
Ceratophyllum demersum,TP,0.07,2,11/07/2014,ST_410720
Ceratophyllum demersum,TP,0.11,2,04/08/2009,ST_415850
Ceratophyllum demersum,TN,11,3,27/08/2012,SN_OBF28803
Ceratophyllum demersum,TP,0.42,3,22/08/2012,ST_417520
Ceratophyllum demersum,pH,7.6,5,17/08/2009,ST_313304
Ceratophyllum demersum,TP,0.16,3,23/06/2009,NI_33952011
Ceratophyllum demersum,HCO3,311.2,2,22/08/2012,ST_417540
Ceratophyllum demersum,TP,0.57,3,15/08/2011,NW_760500
Ceratophyllum demersum,TP,0.46,3,15/08/2011,NW_760500
Ceratophyllum demersum,TN,5.7,4,02/08/2006,SN_OBF13501
Ceratophyllum demersum,pH,7.4,1,08/07/2010,ST_414220
Ceratophyllum demersum,pH,8.29,2,18/09/2012,TH_TH_2132
Ceratophyllum demersum,TN,5.3,1,02/09/2011,TH_TH_2152
Ceratophyllum demersum,TP,0.18,3,27/08/2009,ST_310020
Ceratophyllum demersum,pH,8.1,3,27/08/2009,ST_310020
Ceratophyllum demersum,HCO3,41,3,27/08/2012,SN_OBF28803
Ceratophyllum demersum,TN,2.4,3,05/09/2012,NI_49432043
Ceratophyllum demersum,pH,8.3,4,28/08/2009,ST_313589
Ceratophyllum demersum,TP,1.34,5,17/08/2009,ST_313304
Ceratophyllum demersum,pH,8.1,2,11/07/2014,ST_410720
Ceratophyllum demersum,pH,8,4,09/07/2012,NW_514925
Ceratophyllum demersum,TN,2.2,3,18/08/2009,NW_805180
Ceratophyllum demersum,TN,3.7,2,27/08/2012,TH_TH_2150
Ceratophyllum demersum,TN,6.2,3,30/07/2010,BW_KR026.00
Ceratophyllum demersum,TN,8.1,3,30/07/2010,BW_KR026.00
Ceratophyllum demersum,pH,7.6,2,11/07/2014,ST_410720
Ceratophyllum demersum,pH,7.9,1,07/08/2014,ST_311250
Ceratophyllum demersum,pH,7.8,1,13/09/2011,ST_414105
Ceratophyllum demersum,pH,8,1,31/08/2009,NW_317056
Ceratophyllum demersum,TP,0.16,2,11/09/2014,ST_411221
Ceratophyllum demersum,TP,0.12,2,11/07/2014,ST_410720
Ceratophyllum demersum,pH,7.95,2,06/08/2012,NI_48882394
Ceratophyllum demersum,pH,7.4,1,05/09/2010,NW_311832
Ceratophyllum demersum,TN,1.8,3,15/08/2011,NW_760500
Ceratophyllum demersum,TN,7.8,1,24/06/2008,NW_802189
Ceratophyllum demersum,TP,0.3487,1,31/08/2011,TH_TH_2009
Ceratophyllum demersum,TP,0.36,3,22/08/2012,ST_417520
Ceratophyllum demersum,HCO3,372,3,31/08/2010,TH_TH_20917
Ceratophyllum demersum,HCO3,353.9,3,28/08/2009,ST_313587
Ceratophyllum demersum,TP,0.52,1,07/08/2014,ST_311250
Ceratophyllum demersum,HCO3,312,1,02/09/2011,TH_TH_2152
Ceratophyllum demersum,HCO3,367,3,31/08/2010,TH_TH_20917
Ceratophyllum demersum,pH,7.9,2,11/07/2014,ST_410720
Ceratophyllum demersum,TN,3.87,1,29/07/2012,NW_126809
Ceratophyllum demersum,pH,8.1,3,30/07/2010,BW_KR026.00
Ceratophyllum demersum,TP,0.18,4,28/08/2009,ST_313589
Ceratophyllum demersum,TN,3.1,3,15/08/2011,NW_760500
Ceratophyllum demersum,pH,7.26,3,07/07/2009,NW_147310
Ceratophyllum demersum,TN,8.1,1,16/09/2012,SN_OBF22713
Ceratophyllum demersum,HCO3,333,3,31/08/2010,TH_TH_20917
Ceratophyllum demersum,TP,0.56,3,15/08/2011,NW_760500
Ceratophyllum demersum,TN,6.1,4,02/08/2006,SN_OBF13501
Ceratophyllum demersum,TN,4.4,4,02/08/2006,SN_OBF13501
Ceratophyllum demersum,TN,2.1,2,06/09/2006,SN_OBF16080
Ceratophyllum demersum,TN,2.9,2,06/09/2006,SN_OBF16080
Ceratophyllum demersum,pH,7.8,2,11/07/2014,ST_410720
Ceratophyllum demersum,pH,7.8,1,31/08/2009,NW_317056
Ceratophyllum demersum,pH,7.9,2,11/09/2014,ST_411221
Ceratophyllum demersum,HCO3,347,1,02/09/2011,TH_TH_2152
Ceratophyllum demersum,TP,0.11,1,15/09/2010,NW_360004
Ceratophyllum demersum,pH,7.9,3,04/08/2011,NW_320018
Ceratophyllum demersum,pH,7.3,4,01/10/2012,SN_OBF13670
Ceratophyllum demersum,pH,8.2,3,08/07/2012,NW_514408
Ceratophyllum demersum,HCO3,201.4,3,30/07/2012,ST_410170
Ceratophyllum demersum,pH,7.6,1,25/07/2005,ST_415720
Ceratophyllum demersum,pH,7.8,2,10/08/2011,NW_308031
Ceratophyllum demersum,HCO3,312,2,18/09/2012,TH_TH_2132
Ceratophyllum demersum,TN,8.3,1,03/07/2012,NW_546203
Ceratophyllum demersum,TP,0.13,2,11/09/2014,ST_411221
Ceratophyllum demersum,TP,0.09,1,10/09/2012,ST_410340
Ceratophyllum demersum,TP,0.07,1,10/09/2012,ST_410340
Ceratophyllum demersum,pH,8,2,06/08/2012,NI_48882394
Ceratophyllum demersum,pH,8.1,4,28/08/2009,ST_313589
Ceratophyllum demersum,pH,7.2,2,04/08/2009,ST_415850
Ceratophyllum demersum,TN,2.7,3,15/08/2011,NW_760500
Ceratophyllum demersum,TN,1.93,1,05/09/2010,NW_311832
Ceratophyllum demersum,HCO3,341.7,3,28/08/2009,ST_313587
Ceratophyllum demersum,HCO3,292.9,3,28/08/2009,ST_313587
Ceratophyllum demersum,TN,8.8,2,02/08/2006,SN_OBF08900
Ceratophyllum demersum,TP,0.43,1,07/08/2014,ST_311250
Ceratophyllum demersum,TP,0.2393,2,18/09/2012,TH_TH_2132
Ceratophyllum demersum,TP,0.4418,2,18/09/2012,TH_TH_2132
Ceratophyllum demersum,TP,0.18,1,31/08/2009,NW_317056
Ceratophyllum demersum,pH,7.7,2,01/08/2012,NW_315151
Ceratophyllum demersum,pH,8.2,3,27/08/2009,ST_310020
Ceratophyllum demersum,pH,8.2,3,16/08/2006,BW_LE021.00
Ceratophyllum demersum,pH,7.5,2,04/08/2009,ST_415850
Ceratophyllum demersum,TN,6.4,1,16/09/2012,SN_OBF22713
Ceratophyllum demersum,TN,5.99,2,01/08/2011,NW_311558
Ceratophyllum demersum,pH,8,4,30/08/2012,ST_417010
Ceratophyllum demersum,pH,7.6,1,13/09/2011,ST_414105
Ceratophyllum demersum,TP,0.32,1,13/09/2011,ST_414105
Ceratophyllum demersum,TN,4.6,4,09/07/2012,NW_514925
Ceratophyllum demersum,TN,9.6,4,02/08/2006,SN_OBF13501
Ceratophyllum demersum,pH,7.8,3,30/07/2010,BW_KR026.00
Ceratophyllum demersum,pH,8.6,3,30/07/2010,BW_KR026.00
Ceratophyllum demersum,pH,7.7,1,31/08/2009,NW_317056
Ceratophyllum demersum,pH,8.1,2,11/09/2014,ST_411221
Ceratophyllum demersum,TP,0.21,4,28/08/2009,ST_313589
Ceratophyllum demersum,TP,0.68,5,17/08/2009,ST_313304
Ceratophyllum demersum,TN,3.94,1,29/07/2012,NW_126809
Ceratophyllum demersum,HCO3,225.8,3,30/07/2012,ST_410170
Ceratophyllum demersum,HCO3,268.5,3,29/08/2012,ST_417400
Ceratophyllum demersum,HCO3,311.2,3,29/08/2012,ST_417400
Ceratophyllum demersum,TN,6.9,1,03/07/2012,NW_546203
Ceratophyllum demersum,TN,4.2,2,27/08/2012,TH_TH_2150
Ceratophyllum demersum,TP,0.51,1,05/09/2010,NW_311832
Ceratophyllum demersum,pH,7.6,3,28/08/2014,ST_410195
Ceratophyllum demersum,TP,0.1,3,28/08/2014,ST_410195
Ceratophyllum demersum,pH,7.4,2,24/09/2008,BW_SB025.00
Ceratophyllum demersum,pH,7.5,2,24/09/2008,BW_SB025.00
Ceratophyllum demersum,pH,8,2,11/09/2014,ST_411221
Ceratophyllum demersum,pH,7.6,2,01/08/2012,NW_315151
Ceratophyllum demersum,TP,0.405,3,30/07/2010,BW_KR026.00
Ceratophyllum demersum,TP,0.18,3,28/08/2014,ST_410195
Ceratophyllum demersum,TP,0.14,3,27/08/2009,ST_310020
Ceratophyllum demersum,TP,0.19,4,28/08/2009,ST_313589
Ceratophyllum demersum,pH,8.3,1,23/06/2009,NI_92862013
Ceratophyllum demersum,TN,4.4,3,09/07/2012,NW_515103
Ceratophyllum demersum,TN,6.79,4,26/07/2011,ST_413770
Ceratophyllum demersum,HCO3,286.8,3,28/08/2009,ST_313587
Ceratophyllum demersum,TN,8.13,1,08/08/2010,MV_BUCHHO_1
Ceratophyllum demersum,pH,7.8,4,30/08/2012,ST_417010
Ceratophyllum demersum,pH,8.04,2,27/08/2012,TH_TH_2150
Ceratophyllum demersum,pH,8,3,30/07/2010,BW_KR026.00
Ceratophyllum demersum,TN,0.89,1,15/09/2010,NW_360004
Ceratophyllum demersum,TP,0.2,4,28/08/2009,ST_313589
Ceratophyllum demersum,TN,2.6,2,06/08/2012,NI_48882394
Ceratophyllum demersum,TP,0.16,3,05/09/2012,ST_415910
Ceratophyllum demersum,pH,7.2,3,07/07/2009,NW_147310
Ceratophyllum demersum,TP,0.11,4,01/10/2012,SN_OBF13670
Ceratophyllum demersum,pH,8.1,2,06/08/2009,ST_418305
Ceratophyllum demersum,pH,7.7,1,13/09/2011,ST_414105
Ceratophyllum demersum,TN,2,3,05/09/2012,NI_49412192
Ceratophyllum demersum,pH,7.3,2,24/09/2008,BW_SB025.00
Ceratophyllum demersum,pH,8.4,3,27/08/2009,ST_310020
Ceratophyllum demersum,TP,0.1751,1,02/09/2011,TH_TH_2152
Ceratophyllum demersum,pH,8.12,1,02/09/2011,TH_TH_2152
Ceratophyllum demersum,HCO3,262,1,31/08/2011,TH_TH_2009
Ceratophyllum demersum,TN,5.2,4,01/10/2012,SN_OBF13670
Ceratophyllum demersum,pH,7.9,3,16/08/2006,BW_LE021.00
Ceratophyllum demersum,TN,6.2,1,25/06/2012,NW_126500
Ceratophyllum demersum,TN,3.1,3,18/08/2009,NW_805180
Ceratophyllum demersum,TN,3.4,3,18/08/2009,NW_805180
Ceratophyllum demersum,TP,0.26,3,17/07/2007,ST_310570
Ceratophyllum demersum,pH,7.5,3,28/08/2014,ST_410195
Ceratophyllum demersum,pH,7.9,3,28/08/2014,ST_410195
Ceratophyllum demersum,pH,8,2,27/08/2012,TH_TH_2150
Ceratophyllum demersum,TP,0.3058,2,18/09/2012,TH_TH_2132
Ceratophyllum demersum,HCO3,244.1,3,27/08/2009,ST_310020
Ceratophyllum demersum,TN,4.3,4,01/10/2012,SN_OBF13670
Ceratophyllum demersum,TP,0.13,2,11/07/2014,ST_410610
Ceratophyllum demersum,pH,7.6,2,11/07/2014,ST_410610
Ceratophyllum demersum,TN,2.4,2,06/08/2012,NI_48882394
Ceratophyllum demersum,TN,2.3,3,15/08/2011,NW_760500
Ceratophyllum demersum,TN,2.5,3,15/08/2011,NW_760500
Ceratophyllum demersum,HCO3,207.5,4,30/08/2012,ST_417010
Ceratophyllum demersum,TN,7.7,2,02/08/2006,SN_OBF08900
Ceratophyllum demersum,TN,2.73,1,15/09/2010,NW_311820
Ceratophyllum demersum,TP,0.17,4,30/08/2012,ST_417010
Ceratophyllum demersum,TP,0.18,4,30/08/2012,ST_417010
Ceratophyllum demersum,pH,7.7,4,30/08/2012,ST_417010
Ceratophyllum demersum,pH,7.9,2,09/08/2012,NW_515012
Ceratophyllum demersum,pH,8.3,3,18/08/2009,NW_805180
Ceratophyllum demersum,TP,0.1705,1,02/09/2011,TH_TH_2152
Ceratophyllum demersum,HCO3,362,1,31/08/2011,TH_TH_2009
Ceratophyllum demersum,pH,8.4,1,02/09/2011,TH_TH_2152
Ceratophyllum demersum,pH,7.87,1,25/07/2006,NW_803698
Ceratophyllum demersum,TN,4.2,2,06/08/2012,NI_48882394
Ceratophyllum demersum,HCO3,73,1,16/09/2012,SN_OBF22713
Ceratophyllum demersum,TN,1.12,2,05/09/2010,NW_311996
Ceratophyllum demersum,TP,0.1,2,06/08/2009,ST_418305
Ceratophyllum demersum,HCO3,510,4,02/08/2006,SN_OBF13501
Ceratophyllum demersum,TP,0.48,1,13/09/2011,ST_414105
Ceratophyllum demersum,TN,4.1,1,30/07/2010,NW_803510
Ceratophyllum demersum,TN,6,1,30/07/2010,NW_803510
Ceratophyllum demersum,pH,7.7,2,06/09/2006,SN_OBF16080
Ceratophyllum demersum,pH,7.8,3,18/08/2009,NW_805180
Ceratophyllum demersum,pH,7.9,3,18/08/2009,NW_805180
Ceratophyllum demersum,TN,3.79,1,31/08/2009,NW_317056
Ceratophyllum demersum,pH,7.4,2,02/08/2012,ST_418120
Ceratophyllum demersum,TN,4.3,2,27/08/2007,NW_831220
Ceratophyllum demersum,pH,8,2,11/07/2014,ST_410610
Ceratophyllum demersum,pH,7.99,2,27/08/2007,NW_831220
Ceratophyllum demersum,pH,7.08,3,07/07/2009,NW_147310
Ceratophyllum demersum,TP,0.17,3,07/07/2009,NW_147310
Ceratophyllum demersum,pH,8.1,1,25/06/2012,NW_126500
Ceratophyllum demersum,HCO3,277,2,27/08/2012,TH_TH_2150
Ceratophyllum demersum,TP,0.278,3,26/08/2010,BY_2925
Ceratophyllum demersum,TP,0.1689,2,27/08/2012,TH_TH_2150
Ceratophyllum demersum,pH,7.5,1,10/08/2011,SN_OBF48820
Ceratophyllum demersum,TN,1.6,3,05/09/2012,NI_49412192
Ceratophyllum demersum,TP,0.3431,2,18/09/2012,TH_TH_2132
Ceratophyllum demersum,pH,7.7,3,16/08/2006,BW_LE021.00
Ceratophyllum demersum,TN,3.5,2,06/08/2012,NI_48882394
Ceratophyllum demersum,pH,8.1,1,23/06/2009,NI_92862013
Ceratophyllum demersum,TP,0.18,3,05/09/2012,ST_415910
Ceratophyllum demersum,pH,7.5,3,05/09/2012,ST_415910
Ceratophyllum demersum,HCO3,67,2,02/08/2006,SN_OBF08900
Ceratophyllum demersum,TN,10,2,02/08/2006,SN_OBF08900
Ceratophyllum demersum,TN,11,2,02/08/2006,SN_OBF08900
Ceratophyllum demersum,pH,7.3,1,15/09/2010,NW_311820
Ceratophyllum demersum,TN,3.1,3,28/08/2009,ST_313587
Ceratophyllum demersum,pH,7.9,4,30/08/2012,ST_417010
Ceratophyllum demersum,TP,0.16,3,18/08/2009,NW_805180
Ceratophyllum demersum,pH,8,2,09/08/2012,NW_515012
Ceratophyllum demersum,HCO3,341.7,2,22/08/2012,ST_417540
Ceratophyllum demersum,TP,0.2,2,02/08/2012,ST_418120
Ceratophyllum demersum,pH,7.6,3,05/09/2012,NI_49412192
Ceratophyllum demersum,pH,7.7,2,06/08/2009,ST_418305
Ceratophyllum demersum,TN,3.8,1,30/07/2010,NW_803510
Ceratophyllum demersum,TP,0.106,2,06/09/2010,BW_KI901.00
Ceratophyllum demersum,TN,2.6,4,02/08/2006,SN_OBF13501
Ceratophyllum demersum,TN,4.5,3,08/08/2011,SN_OBF15050
Ceratophyllum demersum,pH,7.1,2,06/09/2006,SN_OBF16080
Ceratophyllum demersum,pH,7.2,2,06/09/2006,SN_OBF16080
Ceratophyllum demersum,TP,0.44,3,08/08/2011,SN_OBF15050
Ceratophyllum demersum,pH,7.4,3,08/08/2011,SN_OBF15050
