Code,Species,Depth,Width,Velocity,Alkalinity,NO3,TP,Substrate
WL3015,Chiloscyphus polyanthos,NA,5,NA,NA,10.1821,54,gravel and boulder
CZ3012,Amblystegium fluviatile,0.45,3,NA,NA,0.7,50,gravel and boulder
DE3003,Rhynchostegium riparioides,NA,2,0.5,NA,0.215,35,gravel and boulder
DE3003,Fontinalis antipyretica,NA,2,0.5,NA,0.215,35,gravel and boulder
FR3035,Scapania undulata,NA,NA,NA,NA,0.2139993,NA,gravel and boulder
FR3035,Glyceria fluitans,NA,NA,NA,NA,0.2139993,NA,gravel and boulder
CZ3012,Rhynchostegium riparioides,0.45,3,NA,NA,0.7,50,gravel and boulder
CZ3013,Chiloscyphus polyanthos,0.3,5,NA,NA,0.3,50,gravel and boulder
CZ3013,Hygrohypnum ochraceum,0.3,5,NA,NA,0.3,50,gravel and boulder
CZ3013,Callitriche hamulata,0.3,5,NA,NA,0.3,50,gravel and boulder
CZ3013,Scapania undulata,0.3,5,NA,NA,0.3,50,gravel and boulder
DE3143,Callitriche hamulata,NA,2,NA,2,NA,NA,gravel and boulder
FR3037,Nasturtium officinale,NA,NA,NA,NA,0.2898564,NA,gravel and boulder
FR3037,Scapania undulata,NA,NA,NA,NA,0.2898564,NA,gravel and boulder
FR3037,Rhynchostegium riparioides,NA,NA,NA,NA,0.2898564,NA,gravel and boulder
FR3037,Fontinalis antipyretica,NA,NA,NA,NA,0.2898564,NA,gravel and boulder
FR3037,Chiloscyphus polyanthos,NA,NA,NA,NA,0.2898564,NA,gravel and boulder
FR3040,Scapania undulata,NA,NA,NA,NA,0.2968494,NA,gravel and boulder
FR3040,Fontinalis squamosa,NA,NA,NA,NA,0.2968494,NA,gravel and boulder
CZ3008,Ranunculus aquatilis,0.3,10,NA,NA,4.2,70,gravel and boulder
FR3043,Amblystegium riparium,NA,NA,NA,NA,0.2971542,NA,gravel and boulder
DE3083,Rhynchostegium riparioides,0.1,NA,NA,NA,2.63,13,gravel and boulder
DE3083,Chiloscyphus polyanthos,0.1,NA,NA,NA,2.63,13,gravel and boulder
FR3043,Fontinalis antipyretica,NA,NA,NA,NA,0.2971542,NA,gravel and boulder
WL3037,Rhynchostegium riparioides,0.4,3.9,NA,0.47,2.13,109,gravel and boulder
DE3086,Fontinalis antipyretica,NA,NA,NA,NA,1.64,23,gravel and boulder
DE3086,Rhynchostegium riparioides,NA,NA,NA,NA,1.64,23,gravel and boulder
DE3087,Fontinalis antipyretica,NA,NA,NA,NA,3.15,163,gravel and boulder
DE3087,Amblystegium fluviatile,NA,NA,NA,NA,3.15,163,gravel and boulder
LU3113,Fontinalis antipyretica,0.1,5,1,0.95,4.746,110,gravel and boulder
FR3045,Brachythecium rivulare,NA,NA,NA,NA,0.226588,NA,gravel and boulder
FR3045,Fontinalis antipyretica,NA,NA,NA,NA,0.226588,NA,gravel and boulder
FR3045,Scapania undulata,NA,NA,NA,NA,0.226588,NA,gravel and boulder
FR3045,Chiloscyphus polyanthos,NA,NA,NA,NA,0.226588,NA,gravel and boulder
FR3045,Thamnobryum alopecurum,NA,NA,NA,NA,0.226588,NA,gravel and boulder
FR3046,Brachythecium rivulare,NA,NA,NA,NA,0.2772812,NA,gravel and boulder
FR3046,Fissidens crassipes,NA,NA,NA,NA,0.2772812,NA,gravel and boulder
DE3075,Amblystegium fluviatile,NA,NA,NA,NA,3.08,23,gravel and boulder
DE3075,Chiloscyphus polyanthos,NA,NA,NA,NA,3.08,23,gravel and boulder
DE3078,Amblystegium fluviatile,NA,NA,NA,NA,3.36,105,gravel and boulder
DE3078,Fontinalis antipyretica,NA,NA,NA,NA,3.36,105,gravel and boulder
LU3093,Ranunculus fluitans,0.2,2.7,0.5,0.8,34,150,gravel and boulder
LU3093,Glyceria fluitans,0.2,2.7,0.5,0.8,34,150,gravel and boulder
DE3147,Rhynchostegium riparioides,NA,3,NA,3,NA,NA,gravel and boulder
DE3147,Fontinalis antipyretica,NA,3,NA,3,NA,NA,gravel and boulder
DE3147,Callitriche hamulata,NA,3,NA,3,NA,NA,gravel and boulder
DE3084,Fontinalis antipyretica,NA,NA,NA,NA,2.48,133,gravel and boulder
DE3084,Rhynchostegium riparioides,NA,NA,NA,NA,2.48,133,gravel and boulder
WL3037,Amblystegium riparium,0.4,3.9,NA,0.47,2.13,109,gravel and boulder
FR3049,Pellia epiphylla,NA,NA,NA,NA,0.226588,NA,gravel and boulder
WL3038,Amblystegium riparium,0.4,4,0.525,0.68,2.41,88,gravel and boulder
WL3038,Rhynchostegium riparioides,0.4,4,0.525,0.68,2.41,88,gravel and boulder
WL3038,Fissidens crassipes,0.4,4,0.525,0.68,2.41,88,gravel and boulder
DE3149,Rhynchostegium riparioides,NA,6,NA,10.8,NA,NA,gravel and boulder
DE3119,Fontinalis antipyretica,NA,8,NA,NA,2.1,50,gravel and boulder
DE3119,Hygrohypnum ochraceum,NA,8,NA,NA,2.1,50,gravel and boulder
DE3119,Amblystegium riparium,NA,8,NA,NA,2.1,50,gravel and boulder
DE3120,Rhynchostegium riparioides,0.5,8,NA,NA,1.2,20,gravel and boulder
DE3120,Amblystegium fluviatile,0.5,8,NA,NA,1.2,20,gravel and boulder
DE3120,Hygrohypnum ochraceum,0.5,8,NA,NA,1.2,20,gravel and boulder
DE3120,Thamnobryum alopecurum,0.5,8,NA,NA,1.2,20,gravel and boulder
DE3124,Scapania undulata,0.1,0.5,NA,NA,0.3242825,NA,gravel and boulder
DE3124,Chiloscyphus polyanthos,0.1,0.5,NA,NA,0.3242825,NA,gravel and boulder
DE3165,Amblystegium fluviatile,NA,4,NA,3,NA,NA,gravel and boulder
DE3165,Myosotis scorpioides,NA,4,NA,3,NA,NA,gravel and boulder
DE3166,Amblystegium riparium,NA,6,NA,1.6,NA,NA,gravel and boulder
DE3166,Hygrohypnum ochraceum,NA,6,NA,1.6,NA,NA,gravel and boulder
DE3166,Fontinalis antipyretica,NA,6,NA,1.6,NA,NA,gravel and boulder
DE3166,Callitriche hamulata,NA,6,NA,1.6,NA,NA,gravel and boulder
DE3166,Glyceria fluitans,NA,6,NA,1.6,NA,NA,gravel and boulder
WL3030,Ranunculus penicillatus,0.4,6.75,NA,0.44,2.6,38,gravel and boulder
DE3167,Hygrohypnum ochraceum,NA,4,NA,1.6,NA,NA,gravel and boulder
DE3129,Hygrohypnum ochraceum,NA,NA,NA,NA,1.67,28,gravel and boulder
DE3129,Fontinalis antipyretica,NA,NA,NA,NA,1.67,28,gravel and boulder
DE3129,Nasturtium officinale,NA,NA,NA,NA,1.67,28,gravel and boulder
DE3129,Scapania undulata,NA,NA,NA,NA,1.67,28,gravel and boulder
LU3092,Fontinalis antipyretica,0.1,1,0.2,0.5,17,80,gravel and boulder
LU3092,Amblystegium fluviatile,0.1,1,0.2,0.5,17,80,gravel and boulder
LU3093,Fontinalis antipyretica,0.2,2.7,0.5,0.8,34,150,gravel and boulder
WL3042,Callitriche hamulata,0.4,4,NA,0.49,2.01,63,gravel and boulder
WL3042,Ranunculus penicillatus,0.4,4,NA,0.49,2.01,63,gravel and boulder
DE3146,Callitriche platycarpa,NA,3,NA,2.2,NA,NA,gravel and boulder
WL3042,Fontinalis antipyretica,0.4,4,NA,0.49,2.01,63,gravel and boulder
WL3043,Chiloscyphus polyanthos,0.3,6.3,NA,1.31,2.45,128,gravel and boulder
WL3043,Amblystegium riparium,0.3,6.3,NA,1.31,2.45,128,gravel and boulder
LU3105,Fontinalis antipyretica,0.3,1.5,0.5,0.66,4.068,50,gravel and boulder
WL3037,Glyceria fluitans,0.4,3.9,NA,0.47,2.13,109,gravel and boulder
FR3049,Amblystegium riparium,NA,NA,NA,NA,0.226588,NA,gravel and boulder
LU3106,Amblystegium fluviatile,0.1,2.5,0.2,0.6,2.938,40,gravel and boulder
FR3049,Scapania undulata,NA,NA,NA,NA,0.226588,NA,gravel and boulder
DE3160,Rhynchostegium riparioides,NA,7,NA,0.2,0.2753498,NA,gravel and boulder
DE3161,Fontinalis antipyretica,NA,4,NA,1.6,NA,NA,gravel and boulder
DE3161,Amblystegium fluviatile,NA,4,NA,1.6,NA,NA,gravel and boulder
DE3161,Hygrohypnum ochraceum,NA,4,NA,1.6,NA,NA,gravel and boulder
DE3150,Myosotis scorpioides,NA,4,NA,1,NA,NA,gravel and boulder
DE3150,Fontinalis squamosa,NA,4,NA,1,NA,NA,gravel and boulder
DE3137,Callitriche hamulata,NA,6,NA,3.6,NA,NA,gravel and boulder
DE3138,Potamogeton crispus,NA,3,NA,4.2,NA,NA,gravel and boulder
CZ3011,Veronica beccabunga,0.2,5,NA,NA,3.7,150,gravel and boulder
CZ3011,Rhynchostegium riparioides,0.2,5,NA,NA,3.7,150,gravel and boulder
FR3011,Brachythecium rivulare,NA,NA,NA,NA,0.1686742,NA,gravel and boulder
FR3011,Rhynchostegium riparioides,NA,NA,NA,NA,0.1686742,NA,gravel and boulder
CZ3012,Hygrohypnum ochraceum,0.45,3,NA,NA,0.7,50,gravel and boulder
CZ3012,Glyceria fluitans,0.45,3,NA,NA,0.7,50,gravel and boulder
CZ3012,Scapania undulata,0.45,3,NA,NA,0.7,50,gravel and boulder
CZ3012,Callitriche hamulata,0.45,3,NA,NA,0.7,50,gravel and boulder
LU3088,Lemna minor,0.1,2.5,0.35,NA,38,100,gravel and boulder
LU3089,Glyceria fluitans,0.3,2,0.2,3,29,110,gravel and boulder
LU3089,Amblystegium fluviatile,0.3,2,0.2,3,29,110,gravel and boulder
LU3091,Fontinalis antipyretica,0.3,2.7,0.3,0.6,24,140,gravel and boulder
LU3091,Rhynchostegium riparioides,0.3,2.7,0.3,0.6,24,140,gravel and boulder
LU3091,Amblystegium fluviatile,0.3,2.7,0.3,0.6,24,140,gravel and boulder
DE3143,Fontinalis antipyretica,NA,2,NA,2,NA,NA,gravel and boulder
DE3143,Glyceria fluitans,NA,2,NA,2,NA,NA,gravel and boulder
DE3144,Veronica beccabunga,NA,2,NA,2,NA,NA,gravel and boulder
LU3092,Veronica beccabunga,0.1,1,0.2,0.5,17,80,gravel and boulder
WL3041,Rhynchostegium riparioides,0.4,9.3,NA,0.37,2.53,64,gravel and boulder
WL3042,Chiloscyphus polyanthos,0.4,4,NA,0.49,2.01,63,gravel and boulder
WL3042,Rhynchostegium riparioides,0.4,4,NA,0.49,2.01,63,gravel and boulder
WL4080,Brachythecium rivulare,NA,4,NA,NA,3.27598,5,gravel and boulder
WL3042,Amblystegium fluviatile,0.4,4,NA,0.49,2.01,63,gravel and boulder
LU3093,Veronica beccabunga,0.2,2.7,0.5,0.8,34,150,gravel and boulder
LU3093,Lemna minor,0.2,2.7,0.5,0.8,34,150,gravel and boulder
LU3105,Amblystegium fluviatile,0.3,1.5,0.5,0.66,4.068,50,gravel and boulder
FR3049,Brachythecium rivulare,NA,NA,NA,NA,0.226588,NA,gravel and boulder
LU3105,Chiloscyphus polyanthos,0.3,1.5,0.5,0.66,4.068,50,gravel and boulder
LU3106,Ranunculus aquatilis,0.1,2.5,0.2,0.6,2.938,40,gravel and boulder
LU3106,Rhynchostegium riparioides,0.1,2.5,0.2,0.6,2.938,40,gravel and boulder
LU3106,Fontinalis antipyretica,0.1,2.5,0.2,0.6,2.938,40,gravel and boulder
LU3106,Amblystegium riparium,0.1,2.5,0.2,0.6,2.938,40,gravel and boulder
PL3008,Brachythecium rivulare,0.3,3,NA,0.4,1.5,NA,gravel and boulder
DE3161,Veronica beccabunga,NA,4,NA,1.6,NA,NA,gravel and boulder
DE3161,Amblystegium riparium,NA,4,NA,1.6,NA,NA,gravel and boulder
DE3150,Ranunculus aquatilis,NA,4,NA,1,NA,NA,gravel and boulder
DE3150,Rhynchostegium riparioides,NA,4,NA,1,NA,NA,gravel and boulder
DE3150,Callitriche hamulata,NA,4,NA,1,NA,NA,gravel and boulder
DE3150,Chiloscyphus polyanthos,NA,4,NA,1,NA,NA,gravel and boulder
DE3150,Fontinalis antipyretica,NA,4,NA,1,NA,NA,gravel and boulder
DE3150,Hygrohypnum ochraceum,NA,4,NA,1,NA,NA,gravel and boulder
DE3151,Fontinalis antipyretica,NA,6,NA,8.8,NA,NA,gravel and boulder
DE3152,Rhynchostegium riparioides,NA,7,NA,2.6,NA,NA,gravel and boulder
DE3152,Veronica beccabunga,NA,7,NA,2.6,NA,NA,gravel and boulder
DE3152,Fontinalis antipyretica,NA,7,NA,2.6,NA,NA,gravel and boulder
DE3152,Callitriche platycarpa,NA,7,NA,2.6,NA,NA,gravel and boulder
DE3153,Hygrohypnum ochraceum,NA,4,NA,1.4,NA,NA,gravel and boulder
DE3153,Callitriche hamulata,NA,4,NA,1.4,NA,NA,gravel and boulder
DE3153,Veronica beccabunga,NA,4,NA,1.4,NA,NA,gravel and boulder
DE3154,Hygrohypnum ochraceum,NA,5,NA,1.4,NA,NA,gravel and boulder
WL3041,Ranunculus penicillatus,0.4,9.3,NA,0.37,2.53,64,gravel and boulder
WL3041,Amblystegium fluviatile,0.4,9.3,NA,0.37,2.53,64,gravel and boulder
WL3041,Hygrohypnum ochraceum,0.4,9.3,NA,0.37,2.53,64,gravel and boulder
WL3041,Fontinalis squamosa,0.4,9.3,NA,0.37,2.53,64,gravel and boulder
WL4080,Ranunculus penicillatus,NA,4,NA,NA,3.27598,5,gravel and boulder
FR3047,Scapania undulata,NA,NA,NA,NA,0.1492279,NA,gravel and boulder
FR3047,Chiloscyphus polyanthos,NA,NA,NA,NA,0.1492279,NA,gravel and boulder
FR3048,Scapania undulata,NA,NA,NA,NA,0.07217634,NA,gravel and boulder
FR3048,Brachythecium rivulare,NA,NA,NA,NA,0.07217634,NA,gravel and boulder
FR3049,Fontinalis antipyretica,NA,NA,NA,NA,0.226588,NA,gravel and boulder
LU3105,Rhynchostegium riparioides,0.3,1.5,0.5,0.66,4.068,50,gravel and boulder
WL4080,Fontinalis antipyretica,NA,4,NA,NA,3.27598,5,gravel and boulder
LU3111,Nasturtium officinale,0.1,1,0.2,0.56,5.876,42,gravel and boulder
LU3112,Rhynchostegium riparioides,0.3,4,0.5,0.6,6.328,150,gravel and boulder
LU3112,Amblystegium fluviatile,0.3,4,0.5,0.6,6.328,150,gravel and boulder
FR3050,Chiloscyphus polyanthos,NA,NA,NA,NA,0.3312061,NA,gravel and boulder
WL3057,Rhynchostegium riparioides,0.3,6.5,0.488,NA,NA,NA,gravel and boulder
PL3008,Rhynchostegium riparioides,0.3,3,NA,0.4,1.5,NA,gravel and boulder
PL3008,Fontinalis antipyretica,0.3,3,NA,0.4,1.5,NA,gravel and boulder
DE3162,Callitriche hamulata,NA,2,NA,1.6,NA,NA,gravel and boulder
DE3162,Fontinalis antipyretica,NA,2,NA,1.6,NA,NA,gravel and boulder
DE3162,Amblystegium riparium,NA,2,NA,1.6,NA,NA,gravel and boulder
DE3162,Veronica beccabunga,NA,2,NA,1.6,NA,NA,gravel and boulder
DE3162,Hygrohypnum ochraceum,NA,2,NA,1.6,NA,NA,gravel and boulder
DE3163,Amblystegium riparium,NA,5,NA,4.8,NA,NA,gravel and boulder
DE3164,Amblystegium riparium,NA,4,NA,5.6,NA,NA,gravel and boulder
DE3165,Rhynchostegium riparioides,NA,4,NA,3,NA,NA,gravel and boulder
WL3057,Amblystegium riparium,0.3,6.5,0.488,NA,29.67861,1521.48,gravel and boulder
FR3052,Thamnobryum alopecurum,NA,NA,NA,NA,0.1455406,NA,gravel and boulder
FR3052,Brachythecium rivulare,NA,NA,NA,NA,0.1455406,NA,gravel and boulder
FR3052,Scapania undulata,NA,NA,NA,NA,0.1455406,NA,gravel and boulder
FR3053,Scapania undulata,NA,NA,NA,NA,0.06716016,NA,gravel and boulder
FR3053,Fontinalis antipyretica,NA,NA,NA,NA,0.06716016,NA,gravel and boulder
DE3129,Veronica beccabunga,NA,NA,NA,NA,1.67,28,gravel and boulder
DE3129,Glyceria fluitans,NA,NA,NA,NA,1.67,28,gravel and boulder
LU3092,Glyceria fluitans,0.1,1,0.2,0.5,17,80,gravel and boulder
LU3092,Myosotis scorpioides,0.1,1,0.2,0.5,17,80,gravel and boulder
FR3047,Fontinalis antipyretica,NA,NA,NA,NA,0.1492279,NA,gravel and boulder
FR3047,Rhynchostegium riparioides,NA,NA,NA,NA,0.1492279,NA,gravel and boulder
LU3110,Amblystegium fluviatile,0.3,2.5,0.35,0.62,32.5,110,gravel and boulder
LU3110,Rhynchostegium riparioides,0.3,2.5,0.35,0.62,32.5,110,gravel and boulder
FR3048,Rhynchostegium riparioides,NA,NA,NA,NA,0.07217634,NA,gravel and boulder
WL4080,Nuphar lutea,NA,4,NA,NA,3.27598,5,gravel and boulder
FR3049,Chiloscyphus polyanthos,NA,NA,NA,NA,0.226588,NA,gravel and boulder
LU3111,Veronica beccabunga,0.1,1,0.2,0.56,5.876,42,gravel and boulder
DE3138,Amblystegium riparium,NA,3,NA,4.2,NA,NA,gravel and boulder
CZ3012,Fontinalis antipyretica,0.45,3,NA,NA,0.7,50,gravel and boulder
WL4080,Myosotis scorpioides,NA,4,NA,NA,3.27598,5,gravel and boulder
FR3035,Brachythecium plumosum,NA,NA,NA,NA,0.2139993,NA,gravel and boulder
LU3112,Fontinalis antipyretica,0.3,4,0.5,0.6,6.328,150,gravel and boulder
FR3050,Fontinalis antipyretica,NA,NA,NA,NA,0.3312061,NA,gravel and boulder
WL3057,Fontinalis antipyretica,0.3,6.5,0.488,NA,NA,NA,gravel and boulder
DE3138,Zannichellia palustris,NA,3,NA,4.2,NA,NA,gravel and boulder
PL3008,Veronica beccabunga,0.3,3,NA,0.4,1.5,NA,gravel and boulder
FR3047,Fontinalis squamosa,NA,NA,NA,NA,0.1492279,NA,gravel and boulder
FR3047,Amblystegium fluviatile,NA,NA,NA,NA,0.1492279,NA,gravel and boulder
CZ3012,Veronica beccabunga,0.45,3,NA,NA,0.7,50,gravel and boulder
FR3011,Fissidens crassipes,NA,NA,NA,NA,0.1686742,NA,gravel and boulder
FR3035,Fontinalis squamosa,NA,NA,NA,NA,0.2139993,NA,gravel and boulder
DE3141,Callitriche hamulata,NA,3,NA,2.6,NA,NA,gravel and boulder
DE3142,Fontinalis antipyretica,NA,2,NA,2.4,NA,NA,gravel and boulder
DE3142,Amblystegium riparium,NA,2,NA,2.4,NA,NA,gravel and boulder
DE3143,Veronica beccabunga,NA,2,NA,2,NA,NA,gravel and boulder
WL4080,Amblystegium riparium,NA,4,NA,NA,NA,NA,gravel and boulder
PL3008,Chiloscyphus polyanthos,0.3,3,NA,0.4,1.5,NA,gravel and boulder
FR3047,Brachythecium rivulare,NA,NA,NA,NA,0.1492279,NA,gravel and boulder
WL4080,Sparganium emersum,NA,4,NA,NA,NA,NA,gravel and boulder
PL3009,Nasturtium officinale,0.25,3,NA,0.5,1.1,NA,gravel and boulder
PL3009,Rhynchostegium riparioides,0.25,3,NA,0.5,1.1,NA,gravel and boulder
PL3010,Fontinalis antipyretica,0.35,7,NA,0.9,0.85,NA,gravel and boulder
LU3110,Fontinalis antipyretica,0.3,2.5,0.35,0.62,32.5,110,gravel and boulder
LU3107,Rhynchostegium riparioides,0.1,1.2,0.3,0.6,1.6272,38,gravel and boulder
LU3111,Fontinalis antipyretica,0.1,1,0.2,0.56,5.876,42,gravel and boulder
LU3111,Rhynchostegium riparioides,0.1,1,0.2,0.56,5.876,42,gravel and boulder
WL3057,Callitriche platycarpa,0.3,6.5,0.488,NA,29.67861,1521.48,gravel and boulder
DE3167,Veronica beccabunga,NA,4,NA,1.6,NA,NA,gravel and boulder
PL3009,Glyceria fluitans,0.25,3,NA,0.5,1.1,NA,gravel and boulder
PL3009,Hygrohypnum ochraceum,0.25,3,NA,0.5,1.1,NA,gravel and boulder
PL3009,Brachythecium rivulare,0.25,3,NA,0.5,1.1,NA,gravel and boulder
FR3052,Fontinalis antipyretica,NA,NA,NA,NA,0.1455406,NA,gravel and boulder
LU3106,Glyceria fluitans,0.1,2.5,0.2,0.6,2.938,40,gravel and boulder
WL3040,Rhynchostegium riparioides,0.4,17.3,NA,0.38,3.5,56,gravel and boulder
WL3057,Amblystegium fluviatile,0.3,6.5,0.488,NA,NA,NA,gravel and boulder
PL3008,Nasturtium officinale,0.3,3,NA,0.4,1.5,NA,gravel and boulder
FR3047,Hygrohypnum ochraceum,NA,NA,NA,NA,0.1492279,NA,gravel and boulder
LU3111,Glyceria fluitans,0.1,1,0.2,0.56,5.876,42,gravel and boulder
DE3143,Sparganium emersum,NA,2,NA,2,NA,NA,gravel and boulder
WL3057,Callitriche hamulata,0.3,6.5,0.488,NA,NA,NA,gravel and boulder
DE3139,Rhynchostegium riparioides,NA,4,NA,4,NA,NA,gravel and boulder
DE3140,Rhynchostegium riparioides,NA,2,NA,3.8,NA,NA,gravel and boulder
PL3010,Brachythecium rivulare,0.35,7,NA,0.9,0.85,NA,gravel and boulder
FR3050,Scapania undulata,NA,NA,NA,NA,0.3312061,NA,gravel and boulder
WL3040,Fontinalis antipyretica,0.4,17.3,NA,0.38,3.5,56,gravel and boulder
PL3010,Rhynchostegium riparioides,0.35,7,NA,0.9,0.85,NA,gravel and boulder
PL3011,Glyceria fluitans,0.3,3,NA,0.8,0.25,NA,gravel and boulder
LU3111,Amblystegium fluviatile,0.1,1,0.2,0.56,5.876,42,gravel and boulder
DE3067,Amblystegium fluviatile,NA,NA,NA,NA,7.26,178,gravel and boulder
WL3057,Fontinalis squamosa,0.3,6.5,0.488,NA,NA,NA,gravel and boulder
DE3138,Potamogeton natans,NA,3,NA,4.2,NA,NA,gravel and boulder
DE3069,Chiloscyphus polyanthos,NA,NA,NA,NA,7.43,2170,gravel and boulder
DE3070,Brachythecium rivulare,NA,NA,NA,NA,9.38,97,gravel and boulder
DE3141,Veronica beccabunga,NA,3,NA,2.6,NA,NA,gravel and boulder
DE3141,Fontinalis antipyretica,NA,3,NA,2.6,NA,NA,gravel and boulder
LU3107,Veronica beccabunga,0.1,1.2,0.3,0.6,1.6272,38,gravel and boulder
DE3127,Fontinalis antipyretica,0.25,8,NA,NA,1.75,62,gravel and boulder
WL3040,Amblystegium fluviatile,0.4,17.3,NA,0.38,3.5,56,gravel and boulder
WL3040,Ranunculus penicillatus,0.4,17.3,NA,0.38,3.5,56,gravel and boulder
LU3109,Amblystegium fluviatile,0.1,1.2,0.2,0.58,5.4692,50,gravel and boulder
LU3109,Nasturtium officinale,0.1,1.2,0.2,0.58,5.4692,50,gravel and boulder
FR3051,Fontinalis antipyretica,NA,NA,NA,NA,0.2971542,NA,gravel and boulder
DE3141,Glyceria fluitans,NA,3,NA,2.6,NA,NA,gravel and boulder
FR3046,Thamnobryum alopecurum,NA,NA,NA,NA,0.2772812,NA,gravel and boulder
DE3124,Amblystegium fluviatile,0.1,0.5,NA,NA,0.3242825,NA,gravel and boulder
DE3127,Ranunculus peltatus,0.25,8,NA,NA,1.75,62,gravel and boulder
DE3127,Rhynchostegium riparioides,0.25,8,NA,NA,1.75,62,gravel and boulder
FR3051,Rhynchostegium riparioides,NA,NA,NA,NA,0.2971542,NA,gravel and boulder
DE3068,Amblystegium fluviatile,0.4,NA,NA,NA,5.56,513,gravel and boulder
LU3109,Veronica beccabunga,0.1,1.2,0.2,0.58,5.4692,50,gravel and boulder
FR3051,Scapania undulata,NA,NA,NA,NA,0.2971542,NA,gravel and boulder
WL3039,Chiloscyphus polyanthos,0.4,17.5,NA,0.38,3.08,43,gravel and boulder
LU3112,Glyceria fluitans,0.3,4,0.5,0.6,6.328,150,gravel and boulder
DE3070,Veronica beccabunga,NA,NA,NA,NA,9.38,97,gravel and boulder
DE3071,Veronica beccabunga,NA,NA,NA,NA,11.5,224,gravel and boulder
LU3112,Amblystegium riparium,0.3,4,0.5,0.6,6.328,150,gravel and boulder
FR3046,Rhynchostegium riparioides,NA,NA,NA,NA,0.2772812,NA,gravel and boulder
FR3050,Brachythecium rivulare,NA,NA,NA,NA,0.3312061,NA,gravel and boulder
FR3046,Fontinalis antipyretica,NA,NA,NA,NA,0.2772812,NA,gravel and boulder
LU3113,Rhynchostegium riparioides,0.1,5,1,0.95,4.746,110,gravel and boulder
WL3040,Myriophyllum alterniflorum,0.4,17.3,NA,0.38,3.5,56,gravel and boulder
LU3109,Rhynchostegium riparioides,0.1,1.2,0.2,0.58,5.4692,50,gravel and boulder
FR3046,Chiloscyphus polyanthos,NA,NA,NA,NA,0.2772812,NA,gravel and boulder
WL3040,Chiloscyphus polyanthos,0.4,17.3,NA,0.38,3.5,56,gravel and boulder
FR3051,Chiloscyphus polyanthos,NA,NA,NA,NA,0.2971542,NA,gravel and boulder
FR3051,Brachythecium rivulare,NA,NA,NA,NA,0.2971542,NA,gravel and boulder
WL3038,Ranunculus penicillatus,0.4,4,0.525,0.68,2.41,88,gravel and boulder
FR3046,Scapania undulata,NA,NA,NA,NA,0.2772812,NA,gravel and boulder
FR3046,Veronica beccabunga,NA,NA,NA,NA,0.2772812,NA,gravel and boulder
WL3039,Rhynchostegium riparioides,0.4,17.5,NA,0.38,3.08,43,gravel and boulder
WL3039,Myosotis scorpioides,0.4,17.5,NA,0.38,3.08,43,gravel and boulder
WL3039,Pellia epiphylla,0.4,17.5,NA,0.38,3.08,43,gravel and boulder
LU3109,Amblystegium riparium,0.1,1.2,0.2,0.58,5.4692,50,gravel and boulder
WL3039,Fontinalis antipyretica,0.4,17.5,NA,0.38,3.08,43,gravel and boulder
WL3040,Fontinalis squamosa,0.4,17.3,NA,0.38,3.5,56,gravel and boulder
WL3039,Amblystegium fluviatile,0.4,17.5,NA,0.38,3.08,43,gravel and boulder
WL3039,Amblystegium riparium,0.4,17.5,NA,0.38,3.08,43,gravel and boulder
WL3038,Amblystegium fluviatile,0.4,4,0.525,0.68,2.41,88,gravel and boulder
LU3108,Amblystegium fluviatile,0.1,3.5,0.1,2,5.424,51,gravel and boulder
DE3075,Rhynchostegium riparioides,NA,NA,NA,NA,3.08,23,gravel and boulder
LU3108,Glyceria fluitans,0.1,3.5,0.1,2,5.424,51,gravel and boulder
LU3113,Chiloscyphus polyanthos,0.1,5,1,0.95,4.746,110,gravel and boulder
LU3113,Amblystegium fluviatile,0.1,5,1,0.95,4.746,110,gravel and boulder
FR3052,Chiloscyphus polyanthos,NA,NA,NA,NA,0.1455406,NA,gravel and boulder
LU3109,Fontinalis antipyretica,0.1,1.2,0.2,0.58,5.4692,50,gravel and boulder
LU3108,Chiloscyphus polyanthos,0.1,3.5,0.1,2,5.424,51,gravel and boulder
WL3040,Amblystegium riparium,0.4,17.3,NA,0.38,3.5,56,gravel and boulder
LU3112,Ranunculus aquatilis,0.3,4,0.5,0.6,6.328,150,gravel and boulder
PL3019,Brachythecium rivulare,0.2,5,NA,2,NA,NA,gravel and boulder
WL3038,Fontinalis antipyretica,0.4,4,0.525,0.68,2.41,88,gravel and boulder
LU3109,Glyceria fluitans,0.1,1.2,0.2,0.58,5.4692,50,gravel and boulder
PL3019,Pellia epiphylla,0.2,5,NA,2,NA,NA,gravel and boulder
LU3113,Veronica beccabunga,0.1,5,1,0.95,4.746,110,gravel and boulder
DE3139,Fontinalis antipyretica,NA,4,NA,4,NA,NA,gravel and boulder
LU3108,Fontinalis antipyretica,0.1,3.5,0.1,2,5.424,51,gravel and boulder
LU3113,Amblystegium riparium,0.1,5,1,0.95,4.746,110,gravel and boulder
WL3039,Fontinalis squamosa,0.4,17.5,NA,0.38,3.08,43,gravel and boulder
DE3075,Fontinalis antipyretica,NA,NA,NA,NA,3.08,23,gravel and boulder
WL3039,Glyceria fluitans,0.4,17.5,NA,0.38,3.08,43,gravel and boulder
DE3073,Scapania undulata,NA,NA,NA,NA,0.65,21,gravel and boulder
LU3107,Chiloscyphus polyanthos,0.1,1.2,0.3,0.6,1.6272,38,gravel and boulder
